date,케데헌_콘텐츠,device,gender,age_group,국립중앙박물관,뮷즈_굿즈
2025-02-15,0.0,all,m,all,11.47796,0.80898
2025-02-16,0.0,all,all,10s,3.09982,0.17513
2025-02-16,0.0,all,all,20s,9.4426,0.4636
2025-02-16,0.0,all,all,30s,10.04499,0.73636
2025-02-16,0.0,all,all,40s_plus,13.26891,0.58234
2025-02-16,0.0,all,all,all,11.35793,0.59976
2025-02-16,0.0,all,f,all,12.54532,0.60898
2025-02-16,0.0,all,m,all,9.96715,0.62921
2025-02-17,0.0,all,all,10s,2.15411,0.10507
2025-02-17,0.0,all,all,20s,8.66993,0.51156
2025-02-17,0.0,all,all,30s,8.80657,0.73264
2025-02-17,0.0,all,all,40s_plus,12.35656,0.51548
2025-02-17,0.0,all,all,all,10.78824,0.60822
2025-02-17,0.0,all,f,all,12.05256,0.54854
2025-02-17,0.0,all,m,all,7.57821,0.65687
2025-02-18,0.0,all,all,10s,2.23292,0.22767
2025-02-18,0.0,all,all,20s,8.38218,0.60748
2025-02-18,0.0,all,all,30s,8.48302,0.88512
2025-02-18,0.0,all,all,40s_plus,12.47088,1.12155
2025-02-18,0.0,all,all,all,10.69142,1.01527
2025-02-18,0.0,all,f,all,11.84646,0.80112
2025-02-18,0.0,all,m,all,7.7649,1.31719
2025-02-19,0.0,all,all,10s,1.78633,0.0788
2025-02-19,0.0,all,all,20s,8.201,0.52222
2025-02-19,0.0,all,all,30s,8.78426,0.71032
2025-02-19,0.0,all,all,40s_plus,12.40617,0.58019
2025-02-19,0.0,all,all,all,10.78072,0.67309
2025-02-19,0.0,all,f,all,11.91,0.55164
2025-02-19,0.0,all,m,all,7.50561,0.72947
2025-02-20,0.0,all,all,10s,2.05779,0.11383
2025-02-20,0.0,all,all,20s,7.58286,0.60748
2025-02-20,0.0,all,all,30s,8.45698,0.7066
2025-02-20,0.0,all,all,40s_plus,11.20912,0.51979
2025-02-20,0.0,all,all,all,9.98636,0.62326
2025-02-20,0.0,all,f,all,11.04534,0.58418
2025-02-20,0.0,all,m,all,6.91789,0.62575
2025-02-21,0.0,all,all,10s,1.70753,0.16637
2025-02-21,0.0,all,all,20s,7.51891,0.67142
2025-02-21,0.0,all,all,30s,9.2231,0.79214
2025-02-21,0.0,all,all,40s_plus,12.15166,0.51764
2025-02-21,0.0,all,all,all,10.50904,0.66462
2025-02-21,0.0,all,f,all,11.45132,0.64617
2025-02-21,0.0,all,m,all,8.05531,0.62575
2025-02-22,0.0,all,all,10s,2.36427,0.16637
2025-02-22,0.0,all,all,20s,9.26675,0.69274
2025-02-22,0.0,all,all,30s,12.07928,1.01528
2025-02-22,0.0,all,all,40s_plus,13.70244,0.66646
2025-02-22,0.0,all,all,all,12.11844,0.76709
2025-02-22,0.0,all,f,all,13.09232,0.77788
2025-02-22,0.0,all,m,all,10.92826,0.7917
2025-02-23,0.0,all,all,10s,2.79334,0.21891
2025-02-23,0.0,all,all,20s,8.65394,1.57199
2025-02-23,0.0,all,all,30s,11.83383,2.45453
2025-02-23,0.0,all,all,40s_plus,14.73557,1.09783
2025-02-23,0.0,all,all,all,12.28954,1.58777
2025-02-23,0.0,all,f,all,13.19924,1.24275
2025-02-23,0.0,all,m,all,11.88936,2.3751
2025-02-24,0.0,all,all,10s,2.01401,0.19264
2025-02-24,0.0,all,all,20s,9.79963,1.27357
2025-02-24,0.0,all,all,30s,11.81524,2.29461
2025-02-24,0.0,all,all,40s_plus,14.04106,0.98783
2025-02-24,0.0,all,all,all,12.72385,1.51539
2025-02-24,0.0,all,f,all,13.30616,1.12963
2025-02-24,0.0,all,m,all,10.95592,2.09853
2025-02-25,0.0,all,all,10s,2.01401,0.19264
2025-02-25,0.0,all,all,20s,9.70371,0.98582
2025-02-25,0.0,all,all,30s,11.61069,1.74048
2025-02-25,0.0,all,all,40s_plus,12.91087,0.78293
2025-02-25,0.0,all,all,all,12.02162,1.12996
2025-02-25,0.0,all,f,all,13.24728,1.06455
2025-02-25,0.0,all,m,all,9.02333,1.21348
2025-02-26,0.0,all,all,10s,2.1366,0.22767
2025-02-26,0.0,all,all,20s,10.06607,1.60929
2025-02-26,0.0,all,all,30s,11.5735,2.22023
2025-02-26,0.0,all,all,40s_plus,14.45733,1.12587
2025-02-26,0.0,all,all,all,12.92878,1.57179
2025-02-26,0.0,all,f,all,14.24985,1.2598
2025-02-26,0.0,all,m,all,9.51426,2.19187
2025-02-27,0.0,all,all,10s,2.21541,0.45534
2025-02-27,0.0,all,all,20s,9.52786,1.91836
2025-02-27,0.0,all,all,30s,10.23838,2.54751
2025-02-27,0.0,all,all,40s_plus,12.45578,1.59822
2025-02-27,0.0,all,all,all,11.42091,2.01269
2025-02-27,0.0,all,f,all,12.0882,1.63014
2025-02-27,0.0,all,m,all,9.56957,2.71737
2025-02-28,0.0,all,all,10s,2.35551,0.31523
2025-02-28,0.0,all,all,20s,8.93637,1.83843
2025-02-28,0.0,all,all,30s,11.09003,2.07891
2025-02-28,0.0,all,all,40s_plus,12.96911,1.46234
2025-02-28,0.0,all,all,all,11.83642,1.74477
2025-02-28,0.0,all,f,all,12.56701,1.50153
